scenario_name,disruption_percentage,num_total_ods,num_unaffected,num_delayed,num_infeasible,num_feasible,pct_unaffected,pct_delayed,pct_infeasible,pct_feasible,reachability,F_tons_2024,F_value_2024,F_tons_2050,F_value_2050,unaffected_tons_2024,delayed_tons_2024,infeasible_tons_2024,total_tons_2024,unaffected_value_2024,delayed_value_2024,infeasible_value_2024,total_value_2024
Tons_2050,0.3,10583744,8338530,2139861,105353,10478391,78.78620268970981,20.218374518506874,0.9954227917833236,99.00457720821669,0.9900457720821668,0.9766282162031271,0.990022707349186,0.9728293951349783,0.990002276699888,3285089.2902285666,864422.8093541481,47215.917221356205,4196728.016804071,1299.3648788429596,302.6449641458573,9.216719454279605,1611.2265624430966
Tons_2050,0.4,10583744,8156646,2307644,119454,10464290,77.06768039740946,21.803664185377123,1.1286554172134171,98.87134458278658,0.9887134458278658,0.9732862931157448,0.9886876763385927,0.96908634638487,0.9886646935389768,3253434.954400499,891002.064241602,52290.99816213423,4196728.016804235,1287.8750169245359,312.7470969536539,10.604448564820693,1611.2265624430104
Tons_2050,0.5,10583744,7894454,2526805,162485,10421259,74.59037180037612,23.874396432869123,1.5352317667547515,98.46476823324525,0.9846476823324525,0.963594217962262,0.9845885001194721,0.9586204599059022,0.9845550169810523,3118981.2716550548,1011283.928615627,66462.81653367972,4196728.016804362,1251.537808519439,343.25587113455884,16.432882789382496,1611.2265624433805
Tons_2050,0.6,10583744,7486826,2911595,185323,10398421,70.73891809930399,27.510066381046254,1.7510155196497572,98.24898448035025,0.9824898448035024,0.9538050210507062,0.9823917881293094,0.9476863251530777,0.9823187772580046,2988742.2427533753,1127410.3000082471,80575.47404315506,4196728.016804777,1181.7275239692058,409.3448271584599,20.15421131565324,1611.2265624433187
Tons_2050,0.7,10583744,7463021,2906381,214342,10369402,70.5139976930659,27.46080215092126,2.025200156012844,97.97479984398716,0.9797479984398716,0.9514031835903125,0.9796496988373589,0.9453378260161917,0.9795769188560777,2978445.5150307147,1120872.1755011035,97410.3262729174,4196728.016804735,1178.907527630665,410.332881137157,21.98615367550239,1611.2265624433246
Tons_2050,0.8,10583744,7254132,3087026,242586,10341158,68.54031994727008,29.16761781086164,2.292062241868284,97.70793775813172,0.9770793775813171,0.9475969725774563,0.9769827323949171,0.94139010159003,0.9769052108404305,2729108.135276339,1339390.6608063495,128229.22072210668,4196728.016804795,1010.2660067487232,553.5558238734963,47.40473182146059,1611.22656244368
Tons_2050,0.9,10583744,6703882,3623362,256500,10327244,63.3413090868411,34.235162906434624,2.4235280067242746,97.57647199327573,0.9757647199327573,0.9422063460721714,0.9756591916427443,0.9346609537084196,0.975571780774398,2593046.2260694285,1455439.8374295945,148241.95330585784,4196728.016804881,947.5121613702885,609.813464061678,53.90093701170465,1611.2265624436711
Tons_2050,1.0,10583744,6630369,3620111,333264,10250480,62.6467250152687,34.20444598811158,3.1488289966197214,96.85117100338027,0.9685117100338028,0.9351521822825707,0.9684070026976738,0.9279613298466738,0.968319958286277,2505368.1382138603,1522672.5288524153,168687.34973845133,4196728.016804727,907.8146362144377,640.6198994852908,62.79202674397146,1611.2265624437
Value_2050,0.1,10583744,9484487,1072919,26338,10557406,89.61372270531108,10.137423958856148,0.2488533358327639,99.75114666416724,0.9975114666416723,0.9885057670916406,0.9974741156922108,0.9866927467275377,0.9974382818178493,3829296.0944338795,355972.23466737533,11459.687701894089,4196728.016803149,1353.4291857580015,252.75484768467092,5.042529000946133,1611.2265624436186
Value_2050,0.2,10583744,9300776,1230404,52564,10531180,87.87793809071724,11.625413464271245,0.4966484450115195,99.50335155498848,0.9950335155498848,0.9857779449990947,0.9949965137108828,0.9838129516532269,0.9949608951897169,3648140.2634753925,498248.91482688114,50338.83850141616,4196728.01680369,1266.8814083419618,327.67108452660597,16.674069575058216,1611.2265624436259
Value_2050,0.3,10583744,9251938,1262060,69746,10513998,87.41649457885603,11.924513669264865,0.6589917518791082,99.34100824812089,0.9934100824812089,0.9833401505998048,0.9933718889138389,0.9812198608222507,0.993335691755881,3636040.580145883,504777.1389790278,55910.29767883318,4196728.016803744,1263.7681284937378,329.6436566134558,17.814777336341255,1611.2265624435347
Value_2050,0.4,10583744,8957975,1518582,107187,10476557,84.63899920481825,14.348249541939035,1.0127512532427088,98.98724874675729,0.989872487467573,0.977510524785161,0.9898278498598435,0.9748005004305882,0.9897859939560085,3551696.274240936,576473.0824282719,68558.66013457933,4196728.016803787,1236.14509038576,355.27357528671047,19.807896770595047,1611.2265624430656
Value_2050,0.5,10583744,8919837,1501336,162571,10421173,84.2786541322239,14.1853015341263,1.5360443336497935,98.46395566635022,0.9846395566635021,0.9724281228776375,0.9845949890117438,0.9697552183553946,0.984553262963962,3541159.379188653,572729.1985930185,82839.43902211511,4196728.016803787,1233.6652506696014,355.65884190463123,21.90246986883896,1611.2265624430715
Value_2050,0.6,10583744,8668371,1723053,192320,10391424,81.9026896342164,16.28018402561513,1.8171263401684696,98.18287365983153,0.9818287365983153,0.9690336791549875,0.9817879343678084,0.9661394373215054,0.9817523349004079,3476772.4396441327,611920.1101668292,108035.46699276193,4196728.016803724,1189.2853466394154,371.8878081867831,50.05340761699267,1611.2265624431911
Value_2050,0.7,10583744,8259704,2102924,221116,10362628,78.04141899123789,19.86937703708631,2.0892039716758077,97.91079602832419,0.9791079602832419,0.9630839046013925,0.9790494928901048,0.9592799079114329,0.9789925593070732,3314939.5797458836,763599.2361054986,118189.20095279555,4196728.016804177,1106.6513691344164,451.3908894857277,53.18430382324009,1611.2265624433842
Value_2050,0.8,10583744,8137651,2175989,270104,10313640,76.88820704658012,20.559728202042677,2.5520647513772063,97.4479352486228,0.974479352486228,0.9581922498564621,0.9744224255548531,0.954272132747363,0.9743658818994729,3246084.691976995,795979.9596674419,154663.36515938144,4196728.016803819,1095.4974954299835,452.58900657751,63.14006043584281,1611.2265624433362
Value_2050,0.9,10583744,7501658,2798040,284046,10299698,70.87905754334194,26.43714738376136,2.683795072896699,97.3162049271033,0.973162049271033,0.946685193775172,0.9730607203370011,0.9402413150300506,0.9729305132662828,3158249.912290313,863457.563045331,175020.5414683792,4196728.016804023,1044.2898942264726,484.98817965513285,81.94848856153838,1611.2265624431438
Value_2050,1.0,10583744,7468401,2823922,291421,10292323,70.56483036626736,26.68169222535995,2.753477408372689,97.24652259162731,0.9724652259162732,0.9457880213791842,0.9723646829478714,0.9393038581744809,0.9722365818834575,3121502.1694019814,897916.2457499121,177309.60165206468,4196728.016803958,1033.826295055047,492.5621807353247,84.83808665269599,1611.2265624430677
